"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"57","BLACK,AVA, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN","1 22 5 10 13",4,6,6,155,2,5,4,0,6,2,7,8,2,"brandeis2","BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE MATSKO,MEGAN OR,CATHERINE"
"58","LAFOND,LIV, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN","34 22 5 10 13",5,5,6,200,5,4,7,0,5,0,3,9,2,"brandeis2","CHINTALA,ANISHA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"59","LAFOND,LIV, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN","34 22 5 10 13",5,2,2,60,3,2,6,0,1,0,1,1,3,"brandeis2","CHINTALA,ANISHA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"60","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN","34 21 5 10 13",5,1,1,31,0,0,5,0,1,0,0,1,3,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN"
"61","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN","34 21 5 22 13",5,2,1,44,2,2,5,0,1,0,1,1,3,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"62","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN","34 21 5 22 13",5,1,1,53,2,3,5,1,1,0,0,0,3,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"63","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN","34 21 5 22 13",5,5,5,169,4,7,6,1,3,2,1,2,3,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"64","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN","34 21 5 22 13",5,2,2,90,2,4,9,0,3,0,2,3,3,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"65","LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN","34 21 5 22 13",5,1,2,29,3,0,11,0,1,0,0,1,4,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"66","LAFOND,LIV, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, MATSKO,MEGAN","34 10 3 22 13",5,3,3,101,5,0,8,0,2,0,1,4,4,"brandeis2","CHINTALA,ANISHA LAFOND,LIV LIGOTTI,PIPER MATSKO,MEGAN OR,CATHERINE"
"67","LAFOND,LIV, CHINTALA,ANISHA, LIGOTTI,PIPER, DELMORE,KAYLA, MATSKO,MEGAN","34 10 3 21 13",5,9,9,284,11,6,3,1,6,6,5,12,4,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA LAFOND,LIV LIGOTTI,PIPER MATSKO,MEGAN"
"68","LAFOND,LIV, CHINTALA,ANISHA, HEYER,ALLIE, DELMORE,KAYLA, MATSKO,MEGAN","34 10 5 21 13",5,2,1,75,1,0,-2,0,1,0,0,1,4,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN"
"69","LAFOND,LIV, CHINTALA,ANISHA, OR,CATHERINE, DELMORE,KAYLA, MATSKO,MEGAN","34 10 22 21 13",5,3,3,60,5,2,-3,1,2,0,1,2,4,"brandeis2","CHINTALA,ANISHA DELMORE,KAYLA LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"70","LAFOND,LIV, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, MATSKO,MEGAN","34 5 22 21 13",5,1,2,29,1,5,-6,3,4,0,3,3,4,"brandeis2","DELMORE,KAYLA HEYER,ALLIE LAFOND,LIV MATSKO,MEGAN OR,CATHERINE"
"71","GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV","4 10 13 21 34",4,8,7,279,0,2,0,3,7,0,10,14,1,"capital","CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV MATSKO,MEGAN"
"72","GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, NAMBISAN,ISHA, LAFOND,LIV","4 10 3 23 34",4,5,6,146,6,6,2,2,3,4,3,6,1,"capital","CHINTALA,ANISHA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER NAMBISAN,ISHA"
"73","BLACK,AVA, CHINTALA,ANISHA, LIGOTTI,PIPER, NAMBISAN,ISHA, ARIAS,AVA","1 10 3 23 24",4,-1,0,15,0,0,2,0,0,0,0,0,1,"capital","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA LIGOTTI,PIPER NAMBISAN,ISHA"
